ma_don,ngay_dat,kenh,tinh,don_vi_van_chuyen,sku,ten_san_pham,danh_muc,gia_ban,so_luong,doanh_thu,giam_gia_shop,trang_thai,phi_hoa_hong,phi_thanh_toan,phi_voucher_freeship,phi_dich_vu,thue_khau_tru,gia_von,chi_phi_hoan
SP260000010,2026-01-01 10:28:33,Shopee,Khánh Hoà,J&T Express,LAN-133,Set đồ mẫu 133,Set đồ,129000,1,129000,11000.0,Hoàn thành,18880.0,7080.0,10620.0,1180.0,1770.0,64200.0,0.0
TT260000011,2026-01-01 11:03:36,TikTok Shop,Bình Dương,Best Express,LAN-111,Chân váy mẫu 111,Chân váy,209000,1,209000,0.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,96300.0,0.0
SP260000012,2026-01-01 11:14:38,Shopee,Hải Phòng,GHN,LAN-081,Quần mẫu 081,Quần,199000,1,199000,0.0,Hoàn thành,31840.0,11940.0,17910.0,1990.0,2985.0,95500.0,0.0
SP260000013,2026-01-01 11:30:23,Shopee,Hà Nội,GHN,LAN-005,Áo mẫu 005,Áo,229000,1,229000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,40490.0
TT260000014,2026-01-01 11:42:32,TikTok Shop,TP.HCM,J&T Express,LAN-127,Chân váy mẫu 127,Chân váy,279000,1,279000,70000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,44510.0
SP260000015,2026-01-01 11:42:36,Shopee,Đồng Nai,J&T Express,LAN-011,Áo mẫu 011,Áo,259000,1,259000,17000.0,Hoàn thành,38720.0,14520.0,21780.0,2420.0,3630.0,123300.0,0.0
SP260000016,2026-01-01 11:53:46,Shopee,Hà Nội,J&T Express,LAN-065,Váy/Đầm mẫu 065,Váy/Đầm,169000,1,169000,10000.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP260000017,2026-01-01 11:57:23,Shopee,TP.HCM,SPX Express,LAN-127,Chân váy mẫu 127,Chân váy,279000,2,558000,140000.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TT260000018,2026-01-01 12:51:36,TikTok Shop,Bình Dương,GHN,LAN-024,Áo mẫu 024,Áo,209000,1,209000,11000.0,Hoàn thành,31680.0,11880.0,17820.0,1980.0,2970.0,106400.0,0.0
SP260000019,2026-01-01 13:15:06,Shopee,Nghệ An,J&T Express,LAN-048,Váy/Đầm mẫu 048,Váy/Đầm,199000,1,199000,0.0,Hoàn thành,31840.0,11940.0,17910.0,1990.0,2985.0,88000.0,0.0
SP260000020,2026-01-01 13:32:39,Shopee,TP.HCM,J&T Express,LAN-131,Set đồ mẫu 131,Set đồ,259000,1,259000,15000.0,Hoàn thành,39040.0,14640.0,21960.0,2440.0,3660.0,127400.0,0.0
TT260000021,2026-01-01 13:56:06,TikTok Shop,TP.HCM,J&T Express,LAN-044,Áo mẫu 044,Áo,249000,1,249000,0.0,Hoàn thành,39840.0,14940.0,22410.0,2490.0,3735.0,123000.0,0.0
TT260000022,2026-01-01 14:00:08,TikTok Shop,TP.HCM,J&T Express,LAN-066,Váy/Đầm mẫu 066,Váy/Đầm,209000,1,209000,0.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,93600.0,0.0
SP260000023,2026-01-01 14:06:33,Shopee,Thanh Hoá,J&T Express,LAN-112,Chân váy mẫu 112,Chân váy,169000,2,338000,29000.0,Hoàn thành,49440.0,18540.0,27810.0,3090.0,4635.0,160600.0,0.0
TT260000024,2026-01-01 14:20:21,TikTok Shop,Đà Nẵng,J&T Express,LAN-108,Quần mẫu 108,Quần,249000,1,249000,0.0,Hoàn thành,39840.0,14940.0,22410.0,2490.0,3735.0,114000.0,0.0
SP260000025,2026-01-01 14:27:30,Shopee,Đồng Nai,SPX Express,LAN-027,Áo mẫu 027,Áo,199000,2,398000,0.0,Hoàn thành,63680.0,23880.0,35820.0,3980.0,5970.0,179800.0,0.0
SP260000026,2026-01-01 14:45:03,Shopee,Nghệ An,J&T Express,LAN-079,Váy/Đầm mẫu 079,Váy/Đầm,119000,1,119000,0.0,Hoàn thành,19040.0,7140.0,10710.0,1190.0,1785.0,55200.0,0.0
SP260000027,2026-01-01 14:47:28,Shopee,Hà Nội,SPX Express,LAN-044,Áo mẫu 044,Áo,249000,1,249000,20000.0,Hoàn thành,36640.0,13740.0,20610.0,2290.0,3435.0,123000.0,0.0
SP260000028,2026-01-01 15:54:12,Shopee,Hà Nội,SPX Express,LAN-086,Quần mẫu 086,Quần,249000,2,498000,29000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,52360.0
TT260000029,2026-01-01 16:00:54,TikTok Shop,TP.HCM,J&T Express,LAN-094,Quần mẫu 094,Quần,299000,2,598000,0.0,Hoàn thành,95680.0,35880.0,53820.0,5980.0,8970.0,286400.0,0.0
SP260000030,2026-01-01 16:03:44,Shopee,Thanh Hoá,GHN,LAN-133,Set đồ mẫu 133,Set đồ,129000,1,129000,12000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,36420.0
TT260000031,2026-01-01 16:20:15,TikTok Shop,TP.HCM,J&T Express,LAN-063,Váy/Đầm mẫu 063,Váy/Đầm,259000,1,259000,0.0,Hoàn thành,41440.0,15540.0,23310.0,2590.0,3885.0,126400.0,0.0
TT260000032,2026-01-01 16:31:43,TikTok Shop,Hà Nội,J&T Express,LAN-057,Váy/Đầm mẫu 057,Váy/Đầm,239000,2,478000,43000.0,Hoàn thành,69600.0,26100.0,39150.0,4350.0,6525.0,209400.0,0.0
SP260000033,2026-01-01 16:39:05,Shopee,Hà Nội,GHN,LAN-028,Áo mẫu 028,Áo,169000,2,338000,0.0,Hoàn thành,54080.0,20280.0,30420.0,3380.0,5070.0,168600.0,0.0
SP260000034,2026-01-01 16:40:57,Shopee,Đà Nẵng,SPX Express,LAN-090,Quần mẫu 090,Quần,249000,3,747000,0.0,Hoàn thành,119520.0,44820.0,67230.0,7470.0,11205.0,361500.0,0.0
SP260000035,2026-01-01 16:42:52,Shopee,TP.HCM,J&T Express,LAN-081,Quần mẫu 081,Quần,199000,1,199000,0.0,Hoàn thành,31840.0,11940.0,17910.0,1990.0,2985.0,95500.0,0.0
SP260000036,2026-01-01 16:44:46,Shopee,Hải Phòng,J&T Express,LAN-135,Set đồ mẫu 135,Set đồ,279000,2,558000,46000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,55060.0
TT260000037,2026-01-01 16:45:31,TikTok Shop,TP.HCM,J&T Express,LAN-029,Áo mẫu 029,Áo,159000,1,159000,12000.0,Hoàn thành,23520.0,8820.0,13230.0,1470.0,2205.0,82400.0,0.0
SP260000038,2026-01-01 16:47:21,Shopee,Hà Nội,SPX Express,LAN-054,Váy/Đầm mẫu 054,Váy/Đầm,129000,2,258000,19000.0,Hoàn thành,38240.0,14340.0,21510.0,2390.0,3585.0,112400.0,0.0
SP260000039,2026-01-01 16:56:30,Shopee,Bình Dương,SPX Express,LAN-072,Váy/Đầm mẫu 072,Váy/Đầm,209000,1,209000,14000.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TT260000040,2026-01-01 17:07:18,TikTok Shop,TP.HCM,Best Express,LAN-013,Áo mẫu 013,Áo,189000,1,189000,13000.0,Hoàn thành,28160.0,10560.0,15840.0,1760.0,2640.0,96200.0,0.0
TT260000041,2026-01-01 17:38:30,TikTok Shop,Đồng Nai,J&T Express,LAN-087,Quần mẫu 087,Quần,249000,1,249000,0.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP260000042,2026-01-01 17:47:44,Shopee,TP.HCM,SPX Express,LAN-011,Áo mẫu 011,Áo,259000,1,259000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,42330.0
TT260000043,2026-01-01 18:15:57,TikTok Shop,Hà Nội,J&T Express,LAN-077,Váy/Đầm mẫu 077,Váy/Đầm,219000,1,219000,0.0,Hoàn thành,35040.0,13140.0,19710.0,2190.0,3285.0,102500.0,0.0
SP260000044,2026-01-01 18:19:31,Shopee,Hà Nội,SPX Express,LAN-009,Áo mẫu 009,Áo,199000,1,199000,0.0,Hoàn thành,31840.0,11940.0,17910.0,1990.0,2985.0,89200.0,0.0
TT260000045,2026-01-01 18:20:07,TikTok Shop,Khánh Hoà,J&T Express,LAN-127,Chân váy mẫu 127,Chân váy,279000,1,279000,70000.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,145100.0,0.0
SP260000046,2026-01-01 18:22:43,Shopee,Hà Nội,GHN,LAN-045,Áo mẫu 045,Áo,159000,1,159000,0.0,Hoàn thành,25440.0,9540.0,14310.0,1590.0,2385.0,73500.0,0.0
SP260000047,2026-01-01 19:37:04,Shopee,Hà Nội,J&T Express,LAN-113,Chân váy mẫu 113,Chân váy,289000,1,289000,18000.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TT260000048,2026-01-01 20:21:51,TikTok Shop,Hà Nội,J&T Express,LAN-036,Áo mẫu 036,Áo,279000,1,279000,70000.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,145100.0,0.0
SP260000049,2026-01-01 20:24:35,Shopee,Hà Nội,J&T Express,LAN-078,Váy/Đầm mẫu 078,Váy/Đầm,299000,2,598000,0.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP260000050,2026-01-01 20:41:48,Shopee,TP.HCM,GHN,LAN-032,Áo mẫu 032,Áo,199000,1,199000,0.0,Hoàn thành,31840.0,11940.0,17910.0,1990.0,2985.0,97700.0,0.0
TT260000051,2026-01-01 20:54:38,TikTok Shop,Đồng Nai,J&T Express,LAN-035,Áo mẫu 035,Áo,259000,1,259000,0.0,Hoàn thành,41440.0,15540.0,23310.0,2590.0,3885.0,125600.0,0.0
SP260000052,2026-01-01 21:03:33,Shopee,Thanh Hoá,SPX Express,LAN-021,Áo mẫu 021,Áo,289000,2,578000,57000.0,Hoàn thành,83360.0,31260.0,46890.0,5210.0,7815.0,245600.0,0.0
TT260000053,2026-01-01 21:12:32,TikTok Shop,TP.HCM,GHN,LAN-122,Chân váy mẫu 122,Chân váy,239000,1,239000,16000.0,Hoàn thành,35680.0,13380.0,20070.0,2230.0,3345.0,102100.0,0.0
SP260000054,2026-01-01 21:14:22,Shopee,Đồng Nai,SPX Express,LAN-150,Phụ kiện mẫu 150,Phụ kiện,259000,1,259000,0.0,Hoàn thành,41440.0,15540.0,23310.0,2590.0,3885.0,120200.0,0.0
TT260000055,2026-01-01 21:16:22,TikTok Shop,Cần Thơ,J&T Express,LAN-136,Set đồ mẫu 136,Set đồ,209000,2,418000,0.0,Hoàn thành,66880.0,25080.0,37620.0,4180.0,6270.0,214400.0,0.0
SP260000056,2026-01-01 21:29:48,Shopee,Bình Dương,J&T Express,LAN-122,Chân váy mẫu 122,Chân váy,239000,2,478000,0.0,Hoàn thành,76480.0,28680.0,43020.0,4780.0,7170.0,204200.0,0.0
SP260000057,2026-01-01 21:42:53,Shopee,Đồng Nai,GHN,LAN-016,Áo mẫu 016,Áo,209000,1,209000,18000.0,Hoàn thành,30560.0,11460.0,17190.0,1910.0,2865.0,96800.0,0.0
SP260000058,2026-01-01 21:46:09,Shopee,Hải Phòng,J&T Express,LAN-065,Váy/Đầm mẫu 065,Váy/Đầm,169000,1,169000,12000.0,Hoàn thành,25120.0,9420.0,14130.0,1570.0,2355.0,74200.0,0.0
SP260000059,2026-01-01 21:59:06,Shopee,Thanh Hoá,SPX Express,LAN-042,Áo mẫu 042,Áo,219000,2,438000,35000.0,Hoàn thành,64480.0,24180.0,36270.0,4030.0,6045.0,211200.0,0.0
TT260000060,2026-01-01 22:30:41,TikTok Shop,Cần Thơ,J&T Express,LAN-122,Chân váy mẫu 122,Chân váy,239000,2,478000,0.0,Hoàn thành,76480.0,28680.0,43020.0,4780.0,7170.0,204200.0,0.0
TT260000061,2026-01-01 22:51:55,TikTok Shop,Hải Phòng,J&T Express,LAN-036,Áo mẫu 036,Áo,279000,1,279000,70000.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,145100.0,0.0
SP260000062,2026-01-01 22:54:35,Shopee,TP.HCM,J&T Express,LAN-075,Váy/Đầm mẫu 075,Váy/Đầm,229000,2,458000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,51660.0
SP260000063,2026-01-02 07:10:43,Shopee,TP.HCM,J&T Express,LAN-096,Quần mẫu 096,Quần,289000,1,289000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,44680.0
SP260000064,2026-01-02 07:27:19,Shopee,Hà Nội,SPX Express,LAN-133,Set đồ mẫu 133,Set đồ,129000,1,129000,0.0,Hoàn thành,20640.0,7740.0,11610.0,1290.0,1935.0,64200.0,0.0
SP260000065,2026-01-02 08:11:27,Shopee,Nghệ An,SPX Express,LAN-122,Chân váy mẫu 122,Chân váy,239000,3,717000,42000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,60630.0
TT260000066,2026-01-02 09:04:21,TikTok Shop,Cần Thơ,GHN,LAN-090,Quần mẫu 090,Quần,249000,1,249000,0.0,Hoàn thành,39840.0,14940.0,22410.0,2490.0,3735.0,120500.0,0.0
TT260000067,2026-01-02 09:08:36,TikTok Shop,TP.HCM,J&T Express,LAN-056,Váy/Đầm mẫu 056,Váy/Đầm,99000,1,99000,0.0,Hoàn thành,15840.0,5940.0,8910.0,990.0,1485.0,44500.0,0.0
SP260000068,2026-01-02 09:14:10,Shopee,TP.HCM,SPX Express,LAN-065,Váy/Đầm mẫu 065,Váy/Đầm,169000,1,169000,0.0,Hoàn thành,27040.0,10140.0,15210.0,1690.0,2535.0,74200.0,0.0
SP260000069,2026-01-02 09:21:36,Shopee,Hà Nội,SPX Express,LAN-036,Áo mẫu 036,Áo,279000,1,279000,70000.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,145100.0,0.0
SP260000070,2026-01-02 09:25:39,Shopee,Bình Dương,GHN,LAN-050,Váy/Đầm mẫu 050,Váy/Đầm,289000,1,289000,20000.0,Hoàn thành,43040.0,16140.0,24210.0,2690.0,4035.0,135300.0,0.0
SP260000071,2026-01-02 10:13:32,Shopee,Đà Nẵng,SPX Express,LAN-075,Váy/Đầm mẫu 075,Váy/Đầm,229000,1,229000,0.0,Hoàn thành,36640.0,13740.0,20610.0,2290.0,3435.0,108300.0,0.0
TT260000072,2026-01-02 10:54:20,TikTok Shop,Cần Thơ,J&T Express,LAN-105,Quần mẫu 105,Quần,209000,1,209000,0.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,107000.0,0.0
SP260000073,2026-01-02 11:48:29,Shopee,Hà Nội,SPX Express,LAN-072,Váy/Đầm mẫu 072,Váy/Đầm,209000,1,209000,0.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,103700.0,0.0
TT260000074,2026-01-02 11:59:43,TikTok Shop,Bình Dương,J&T Express,LAN-044,Áo mẫu 044,Áo,249000,1,249000,16000.0,Hoàn thành,37280.0,13980.0,20970.0,2330.0,3495.0,123000.0,0.0
SP260000075,2026-01-02 12:19:41,Shopee,Nghệ An,J&T Express,LAN-011,Áo mẫu 011,Áo,259000,1,259000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,42330.0
TT260000076,2026-01-02 12:59:25,TikTok Shop,Đà Nẵng,J&T Express,LAN-081,Quần mẫu 081,Quần,199000,1,199000,14000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,39550.0
TT260000077,2026-01-02 13:03:04,TikTok Shop,Cần Thơ,GHN,LAN-147,Phụ kiện mẫu 147,Phụ kiện,239000,1,239000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,41590.0
SP260000078,2026-01-02 13:03:41,Shopee,TP.HCM,J&T Express,LAN-011,Áo mẫu 011,Áo,259000,1,259000,25000.0,Hoàn thành,37440.0,14040.0,21060.0,2340.0,3510.0,123300.0,0.0
TT260000079,2026-01-02 13:22:54,TikTok Shop,TP.HCM,GHN,LAN-122,Chân váy mẫu 122,Chân váy,239000,1,239000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,40210.0
SP260000080,2026-01-02 13:51:40,Shopee,Hà Nội,SPX Express,LAN-050,Váy/Đầm mẫu 050,Váy/Đầm,289000,1,289000,24000.0,Hoàn thành,42400.0,15900.0,23850.0,2650.0,3975.0,135300.0,0.0
SP260000081,2026-01-02 14:04:57,Shopee,Hà Nội,J&T Express,LAN-130,Chân váy mẫu 130,Chân váy,99000,2,198000,0.0,Hoàn thành,31680.0,11880.0,17820.0,1980.0,2970.0,101600.0,0.0
TT260000082,2026-01-02 14:22:10,TikTok Shop,Khánh Hoà,J&T Express,LAN-127,Chân váy mẫu 127,Chân váy,279000,1,279000,70000.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,145100.0,0.0
SP260000083,2026-01-02 14:23:19,Shopee,TP.HCM,SPX Express,LAN-011,Áo mẫu 011,Áo,259000,1,259000,0.0,Hoàn thành,41440.0,15540.0,23310.0,2590.0,3885.0,123300.0,0.0
SP260000084,2026-01-02 14:27:27,Shopee,Đà Nẵng,SPX Express,LAN-091,Quần mẫu 091,Quần,169000,1,169000,10000.0,Hoàn thành,25440.0,9540.0,14310.0,1590.0,2385.0,85900.0,0.0
TT260000085,2026-01-02 14:28:14,TikTok Shop,Hải Phòng,Best Express,LAN-122,Chân váy mẫu 122,Chân váy,239000,1,239000,0.0,Hoàn thành,38240.0,14340.0,21510.0,2390.0,3585.0,102100.0,0.0
SP260000086,2026-01-02 14:28:39,Shopee,Thanh Hoá,J&T Express,LAN-064,Váy/Đầm mẫu 064,Váy/Đầm,279000,1,279000,24000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,43450.0
TT260000087,2026-01-02 14:43:25,TikTok Shop,TP.HCM,GHN,LAN-014,Áo mẫu 014,Áo,279000,3,837000,82000.0,Hoàn thành,120800.0,45300.0,67950.0,7550.0,11325.0,363300.0,0.0
TT260000088,2026-01-02 15:00:39,TikTok Shop,Hà Nội,GHN,LAN-146,Phụ kiện mẫu 146,Phụ kiện,209000,3,627000,47000.0,Hoàn thành,92800.0,34800.0,52200.0,5800.0,8700.0,299700.0,0.0
TT260000089,2026-01-02 15:10:20,TikTok Shop,Nghệ An,J&T Express,LAN-044,Áo mẫu 044,Áo,249000,1,249000,13000.0,Hoàn thành,37760.0,14160.0,21240.0,2360.0,3540.0,123000.0,0.0
TT260000090,2026-01-02 15:41:54,TikTok Shop,TP.HCM,J&T Express,LAN-008,Áo mẫu 008,Áo,109000,2,218000,18000.0,Hoàn thành,32000.0,12000.0,18000.0,2000.0,3000.0,109600.0,0.0
SP260000091,2026-01-02 15:50:48,Shopee,TP.HCM,SPX Express,LAN-029,Áo mẫu 029,Áo,159000,3,477000,0.0,Hoàn thành,76320.0,28620.0,42930.0,4770.0,7155.0,247200.0,0.0
SP260000092,2026-01-02 16:25:16,Shopee,TP.HCM,J&T Express,LAN-031,Áo mẫu 031,Áo,139000,1,139000,10000.0,Hoàn thành,20640.0,7740.0,11610.0,1290.0,1935.0,58700.0,0.0
SP260000093,2026-01-02 16:33:16,Shopee,Đà Nẵng,SPX Express,LAN-003,Áo mẫu 003,Áo,99000,1,99000,0.0,Hoàn thành,15840.0,5940.0,8910.0,990.0,1485.0,43900.0,0.0
TT260000094,2026-01-02 16:53:15,TikTok Shop,Nghệ An,Best Express,LAN-081,Quần mẫu 081,Quần,199000,1,199000,0.0,Hoàn thành,31840.0,11940.0,17910.0,1990.0,2985.0,95500.0,0.0
SP260000095,2026-01-02 16:56:43,Shopee,Đồng Nai,GHN,LAN-122,Chân váy mẫu 122,Chân váy,239000,2,478000,0.0,Hoàn thành,76480.0,28680.0,43020.0,4780.0,7170.0,204200.0,0.0
SP260000096,2026-01-02 16:58:42,Shopee,TP.HCM,J&T Express,LAN-011,Áo mẫu 011,Áo,259000,1,259000,0.0,Hoàn thành,41440.0,15540.0,23310.0,2590.0,3885.0,123300.0,0.0
SP260000097,2026-01-02 17:12:53,Shopee,Đà Nẵng,GHN,LAN-144,Phụ kiện mẫu 144,Phụ kiện,199000,2,398000,26000.0,Hoàn thành,59520.0,22320.0,33480.0,3720.0,5580.0,178000.0,0.0
SP260000098,2026-01-02 17:25:40,Shopee,Cần Thơ,SPX Express,LAN-042,Áo mẫu 042,Áo,219000,1,219000,16000.0,Hoàn thành,32480.0,12180.0,18270.0,2030.0,3045.0,105600.0,0.0
TT260000099,2026-01-02 17:31:49,TikTok Shop,Thanh Hoá,GHN,LAN-078,Váy/Đầm mẫu 078,Váy/Đầm,299000,2,598000,39000.0,Hoàn thành,89440.0,33540.0,50310.0,5590.0,8385.0,281000.0,0.0
SP260000100,2026-01-02 17:55:54,Shopee,Hà Nội,GHN,LAN-122,Chân váy mẫu 122,Chân váy,239000,1,239000,22000.0,Hoàn thành,34720.0,13020.0,19530.0,2170.0,3255.0,102100.0,0.0
TT260000101,2026-01-02 18:00:32,TikTok Shop,Hải Phòng,J&T Express,LAN-089,Quần mẫu 089,Quần,219000,1,219000,13000.0,Hoàn thành,32960.0,12360.0,18540.0,2060.0,3090.0,98800.0,0.0
SP260000102,2026-01-02 18:15:16,Shopee,Đồng Nai,SPX Express,LAN-011,Áo mẫu 011,Áo,259000,2,518000,0.0,Hoàn thành,82880.0,31080.0,46620.0,5180.0,7770.0,246600.0,0.0
TT260000103,2026-01-02 18:23:01,TikTok Shop,Khánh Hoà,Best Express,LAN-024,Áo mẫu 024,Áo,209000,1,209000,0.0,Hoàn thành,33440.0,12540.0,18810.0,2090.0,3135.0,106400.0,0.0
SP260000104,2026-01-02 18:27:06,Shopee,Nghệ An,J&T Express,LAN-025,Áo mẫu 025,Áo,119000,1,119000,10000.0,Hoàn thành,17440.0,6540.0,9810.0,1090.0,1635.0,52600.0,0.0
TT260000105,2026-01-02 18:58:28,TikTok Shop,Hải Phòng,GHN,LAN-011,Áo mẫu 011,Áo,259000,1,259000,21000.0,Hoàn thành,38080.0,14280.0,21420.0,2380.0,3570.0,123300.0,0.0
TT260000106,2026-01-02 19:47:03,TikTok Shop,TP.HCM,J&T Express,LAN-050,Váy/Đầm mẫu 050,Váy/Đầm,289000,1,289000,20000.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP260000107,2026-01-02 20:16:45,Shopee,TP.HCM,SPX Express,LAN-099,Quần mẫu 099,Quần,139000,2,278000,21000.0,Hoàn thành,41120.0,15420.0,23130.0,2570.0,3855.0,124200.0,0.0
SP260000108,2026-01-02 20:22:54,Shopee,TP.HCM,SPX Express,LAN-031,Áo mẫu 031,Áo,139000,1,139000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,35870.0
SP260000109,2026-01-02 20:25:46,Shopee,Hà Nội,J&T Express,LAN-127,Chân váy mẫu 127,Chân váy,279000,1,279000,70000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,44510.0
SP260000110,2026-01-02 20:43:37,Shopee,Hà Nội,GHN,LAN-037,Áo mẫu 037,Áo,209000,1,209000,17000.0,Hoàn thành,30720.0,11520.0,17280.0,1920.0,2880.0,97800.0,0.0
TT260000111,2026-01-02 21:46:40,TikTok Shop,Hải Phòng,Best Express,LAN-050,Váy/Đầm mẫu 050,Váy/Đầm,289000,1,289000,0.0,Hoàn thành,46240.0,17340.0,26010.0,2890.0,4335.0,135300.0,0.0
SP260000112,2026-01-02 22:08:32,Shopee,Bình Dương,SPX Express,LAN-058,Váy/Đầm mẫu 058,Váy/Đầm,99000,1,99000,0.0,Hoàn thành,15840.0,5940.0,8910.0,990.0,1485.0,43900.0,0.0
SP260000113,2026-01-02 22:10:38,Shopee,Khánh Hoà,J&T Express,LAN-008,Áo mẫu 008,Áo,109000,3,327000,0.0,Hoàn thành,52320.0,19620.0,29430.0,3270.0,4905.0,164400.0,0.0
TT260000114,2026-01-02 22:25:32,TikTok Shop,Đồng Nai,J&T Express,LAN-132,Set đồ mẫu 132,Set đồ,209000,1,209000,14000.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP260000115,2026-01-02 22:46:12,Shopee,Cần Thơ,SPX Express,LAN-011,Áo mẫu 011,Áo,259000,1,259000,0.0,Hoàn thành,41440.0,15540.0,23310.0,2590.0,3885.0,123300.0,0.0
TT260000116,2026-01-02 22:56:22,TikTok Shop,Hà Nội,J&T Express,LAN-137,Set đồ mẫu 137,Set đồ,99000,1,99000,0.0,Hoàn thành,15840.0,5940.0,8910.0,990.0,1485.0,47000.0,0.0
SP260000117,2026-01-03 07:19:16,Shopee,TP.HCM,J&T Express,LAN-087,Quần mẫu 087,Quần,249000,2,498000,40000.0,Đã huỷ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP260000118,2026-01-03 07:19:21,Shopee,TP.HCM,J&T Express,LAN-061,Váy/Đầm mẫu 061,Váy/Đầm,99000,1,99000,0.0,Hoàn thành,15840.0,5940.0,8910.0,990.0,1485.0,42300.0,0.0
