Mã đơn hàng,Ngày đặt hàng,Trạng Thái Đơn Hàng,SKU phân loại hàng,Tên sản phẩm,Số lượng,Giá gốc,Tổng giá bán (sản phẩm),Mã giảm giá của Shop,Phí cố định,Phí thanh toán,Phí Voucher Xtra & Freeship Xtra,Phí Dịch Vụ,Thuế khấu trừ,Phí vận chuyển trả hàng,Tỉnh/Thành phố,Đơn Vị Vận Chuyển
SP260000081,2026-01-02 14:04:57,Hoàn thành,LAN-130,Chân váy mẫu 130,2,99000,198000,0.0,31680.0,11880.0,17820.0,1980.0,2970.0,0,Hà Nội,J&T Express
SP260000083,2026-01-02 14:23:19,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,TP.HCM,SPX Express
SP260000084,2026-01-02 14:27:27,Hoàn thành,LAN-091,Quần mẫu 091,1,169000,169000,10000.0,25440.0,9540.0,14310.0,1590.0,2385.0,0,Đà Nẵng,SPX Express
SP260000086,2026-01-02 14:28:39,Đã trả hàng,LAN-064,Váy/Đầm mẫu 064,1,279000,279000,24000.0,0.0,0.0,0.0,0.0,0.0,30000,Thanh Hoá,J&T Express
SP260000091,2026-01-02 15:50:48,Hoàn thành,LAN-029,Áo mẫu 029,3,159000,477000,0.0,76320.0,28620.0,42930.0,4770.0,7155.0,0,TP.HCM,SPX Express
SP260000092,2026-01-02 16:25:16,Hoàn thành,LAN-031,Áo mẫu 031,1,139000,139000,10000.0,20640.0,7740.0,11610.0,1290.0,1935.0,0,TP.HCM,J&T Express
SP260000093,2026-01-02 16:33:16,Hoàn thành,LAN-003,Áo mẫu 003,1,99000,99000,0.0,15840.0,5940.0,8910.0,990.0,1485.0,0,Đà Nẵng,SPX Express
SP260000095,2026-01-02 16:56:43,Hoàn thành,LAN-122,Chân váy mẫu 122,2,239000,478000,0.0,76480.0,28680.0,43020.0,4780.0,7170.0,0,Đồng Nai,GHN
SP260000096,2026-01-02 16:58:42,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,TP.HCM,J&T Express
SP260000097,2026-01-02 17:12:53,Hoàn thành,LAN-144,Phụ kiện mẫu 144,2,199000,398000,26000.0,59520.0,22320.0,33480.0,3720.0,5580.0,0,Đà Nẵng,GHN
SP260000098,2026-01-02 17:25:40,Hoàn thành,LAN-042,Áo mẫu 042,1,219000,219000,16000.0,32480.0,12180.0,18270.0,2030.0,3045.0,0,Cần Thơ,SPX Express
SP260000100,2026-01-02 17:55:54,Hoàn thành,LAN-122,Chân váy mẫu 122,1,239000,239000,22000.0,34720.0,13020.0,19530.0,2170.0,3255.0,0,Hà Nội,GHN
SP260000102,2026-01-02 18:15:16,Hoàn thành,LAN-011,Áo mẫu 011,2,259000,518000,0.0,82880.0,31080.0,46620.0,5180.0,7770.0,0,Đồng Nai,SPX Express
SP260000104,2026-01-02 18:27:06,Hoàn thành,LAN-025,Áo mẫu 025,1,119000,119000,10000.0,17440.0,6540.0,9810.0,1090.0,1635.0,0,Nghệ An,J&T Express
SP260000107,2026-01-02 20:16:45,Hoàn thành,LAN-099,Quần mẫu 099,2,139000,278000,21000.0,41120.0,15420.0,23130.0,2570.0,3855.0,0,TP.HCM,SPX Express
SP260000108,2026-01-02 20:22:54,Đã trả hàng,LAN-031,Áo mẫu 031,1,139000,139000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,SPX Express
SP260000109,2026-01-02 20:25:46,Đã trả hàng,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,0.0,0.0,0.0,0.0,0.0,30000,Hà Nội,J&T Express
SP260000110,2026-01-02 20:43:37,Hoàn thành,LAN-037,Áo mẫu 037,1,209000,209000,17000.0,30720.0,11520.0,17280.0,1920.0,2880.0,0,Hà Nội,GHN
SP260000112,2026-01-02 22:08:32,Hoàn thành,LAN-058,Váy/Đầm mẫu 058,1,99000,99000,0.0,15840.0,5940.0,8910.0,990.0,1485.0,0,Bình Dương,SPX Express
SP260000113,2026-01-02 22:10:38,Hoàn thành,LAN-008,Áo mẫu 008,3,109000,327000,0.0,52320.0,19620.0,29430.0,3270.0,4905.0,0,Khánh Hoà,J&T Express
SP260000115,2026-01-02 22:46:12,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Cần Thơ,SPX Express
SP260000117,2026-01-03 07:19:16,Đã huỷ,LAN-087,Quần mẫu 087,2,249000,498000,40000.0,0.0,0.0,0.0,0.0,0.0,0,TP.HCM,J&T Express
SP260000118,2026-01-03 07:19:21,Hoàn thành,LAN-061,Váy/Đầm mẫu 061,1,99000,99000,0.0,15840.0,5940.0,8910.0,990.0,1485.0,0,TP.HCM,J&T Express
SP260000120,2026-01-03 07:27:31,Hoàn thành,LAN-089,Quần mẫu 089,3,219000,657000,59000.0,95680.0,35880.0,53820.0,5980.0,8970.0,0,Khánh Hoà,J&T Express
SP260000121,2026-01-03 08:28:15,Hoàn thành,LAN-008,Áo mẫu 008,3,109000,327000,0.0,52320.0,19620.0,29430.0,3270.0,4905.0,0,TP.HCM,SPX Express
SP260000122,2026-01-03 08:41:35,Hoàn thành,LAN-019,Áo mẫu 019,1,289000,289000,0.0,46240.0,17340.0,26010.0,2890.0,4335.0,0,Cần Thơ,SPX Express
SP260000124,2026-01-03 09:16:25,Hoàn thành,LAN-119,Chân váy mẫu 119,2,239000,478000,29000.0,71840.0,26940.0,40410.0,4490.0,6735.0,0,TP.HCM,SPX Express
SP260000126,2026-01-03 09:27:35,Hoàn thành,LAN-056,Váy/Đầm mẫu 056,1,99000,99000,0.0,15840.0,5940.0,8910.0,990.0,1485.0,0,Hà Nội,SPX Express
SP260000130,2026-01-03 09:59:48,Hoàn thành,LAN-117,Chân váy mẫu 117,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Hải Phòng,SPX Express
SP260000133,2026-01-03 10:18:04,Hoàn thành,LAN-063,Váy/Đầm mẫu 063,1,259000,259000,21000.0,38080.0,14280.0,21420.0,2380.0,3570.0,0,Hà Nội,GHN
SP260000134,2026-01-03 10:21:35,Hoàn thành,LAN-089,Quần mẫu 089,2,219000,438000,0.0,70080.0,26280.0,39420.0,4380.0,6570.0,0,Nghệ An,J&T Express
SP260000135,2026-01-03 10:30:44,Đã huỷ,LAN-090,Quần mẫu 090,1,249000,249000,0.0,0.0,0.0,0.0,0.0,0.0,0,Nghệ An,SPX Express
SP260000136,2026-01-03 10:38:17,Hoàn thành,LAN-078,Váy/Đầm mẫu 078,1,299000,299000,0.0,47840.0,17940.0,26910.0,2990.0,4485.0,0,TP.HCM,SPX Express
SP260000139,2026-01-03 10:56:54,Hoàn thành,LAN-110,Quần mẫu 110,2,139000,278000,15000.0,42080.0,15780.0,23670.0,2630.0,3945.0,0,Khánh Hoà,J&T Express
SP260000141,2026-01-03 11:28:07,Hoàn thành,LAN-076,Váy/Đầm mẫu 076,1,169000,169000,17000.0,24320.0,9120.0,13680.0,1520.0,2280.0,0,Hà Nội,J&T Express
SP260000143,2026-01-03 11:33:32,Đã trả hàng,LAN-121,Chân váy mẫu 121,1,289000,289000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,GHN
SP260000144,2026-01-03 11:35:17,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Hà Nội,GHN
SP260000145,2026-01-03 11:42:55,Hoàn thành,LAN-147,Phụ kiện mẫu 147,1,239000,239000,0.0,38240.0,14340.0,21510.0,2390.0,3585.0,0,TP.HCM,GHN
SP260000146,2026-01-03 12:02:08,Hoàn thành,LAN-044,Áo mẫu 044,1,249000,249000,17000.0,37120.0,13920.0,20880.0,2320.0,3480.0,0,Hà Nội,SPX Express
SP260000147,2026-01-03 12:12:17,Hoàn thành,LAN-149,Phụ kiện mẫu 149,1,169000,169000,11000.0,25280.0,9480.0,14220.0,1580.0,2370.0,0,TP.HCM,SPX Express
SP260000148,2026-01-03 12:15:09,Hoàn thành,LAN-105,Quần mẫu 105,3,209000,627000,0.0,100320.0,37620.0,56430.0,6270.0,9405.0,0,Khánh Hoà,SPX Express
SP260000149,2026-01-03 12:17:01,Hoàn thành,LAN-024,Áo mẫu 024,2,209000,418000,29000.0,62240.0,23340.0,35010.0,3890.0,5835.0,0,Đồng Nai,SPX Express
SP260000151,2026-01-03 12:59:43,Hoàn thành,LAN-031,Áo mẫu 031,1,139000,139000,0.0,22240.0,8340.0,12510.0,1390.0,2085.0,0,TP.HCM,SPX Express
SP260000152,2026-01-03 13:31:31,Hoàn thành,LAN-079,Váy/Đầm mẫu 079,1,119000,119000,0.0,19040.0,7140.0,10710.0,1190.0,1785.0,0,Khánh Hoà,J&T Express
SP260000154,2026-01-03 13:55:55,Hoàn thành,LAN-081,Quần mẫu 081,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,TP.HCM,SPX Express
SP260000155,2026-01-03 14:26:54,Hoàn thành,LAN-105,Quần mẫu 105,1,209000,209000,13000.0,31360.0,11760.0,17640.0,1960.0,2940.0,0,Cần Thơ,J&T Express
SP260000156,2026-01-03 14:33:06,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,15000.0,39040.0,14640.0,21960.0,2440.0,3660.0,0,Nghệ An,J&T Express
SP260000158,2026-01-03 15:38:38,Hoàn thành,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,9000.0,25600.0,9600.0,14400.0,1600.0,2400.0,0,Cần Thơ,SPX Express
SP260000159,2026-01-03 16:00:08,Hoàn thành,LAN-104,Quần mẫu 104,1,229000,229000,0.0,36640.0,13740.0,20610.0,2290.0,3435.0,0,Bình Dương,SPX Express
SP260000160,2026-01-03 16:22:09,Hoàn thành,LAN-036,Áo mẫu 036,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,GHN
SP260000161,2026-01-03 16:24:48,Hoàn thành,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,TP.HCM,J&T Express
SP260000162,2026-01-03 16:47:02,Đã huỷ,LAN-052,Váy/Đầm mẫu 052,1,139000,139000,10000.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,J&T Express
SP260000164,2026-01-03 16:57:23,Đã huỷ,LAN-091,Quần mẫu 091,1,169000,169000,16000.0,0.0,0.0,0.0,0.0,0.0,0,Đà Nẵng,SPX Express
SP260000165,2026-01-03 17:04:57,Hoàn thành,LAN-030,Áo mẫu 030,2,99000,198000,14000.0,29440.0,11040.0,16560.0,1840.0,2760.0,0,Nghệ An,GHN
SP260000167,2026-01-03 17:36:48,Hoàn thành,LAN-135,Set đồ mẫu 135,1,279000,279000,18000.0,41760.0,15660.0,23490.0,2610.0,3915.0,0,Đà Nẵng,GHN
SP260000170,2026-01-03 18:31:31,Hoàn thành,LAN-034,Áo mẫu 034,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,GHN
SP260000171,2026-01-03 18:44:17,Hoàn thành,LAN-066,Váy/Đầm mẫu 066,2,209000,418000,0.0,66880.0,25080.0,37620.0,4180.0,6270.0,0,Hà Nội,J&T Express
SP260000173,2026-01-03 19:24:34,Hoàn thành,LAN-020,Áo mẫu 020,1,129000,129000,8000.0,19360.0,7260.0,10890.0,1210.0,1815.0,0,Nghệ An,GHN
SP260000176,2026-01-03 19:47:27,Hoàn thành,LAN-023,Áo mẫu 023,1,209000,209000,20000.0,30240.0,11340.0,17010.0,1890.0,2835.0,0,TP.HCM,SPX Express
SP260000179,2026-01-03 20:34:31,Hoàn thành,LAN-012,Áo mẫu 012,1,269000,269000,18000.0,40160.0,15060.0,22590.0,2510.0,3765.0,0,Hà Nội,J&T Express
SP260000180,2026-01-03 21:19:58,Hoàn thành,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,11000.0,25280.0,9480.0,14220.0,1580.0,2370.0,0,Nghệ An,J&T Express
SP260000181,2026-01-03 21:23:27,Hoàn thành,LAN-046,Váy/Đầm mẫu 046,1,269000,269000,0.0,43040.0,16140.0,24210.0,2690.0,4035.0,0,Khánh Hoà,SPX Express
SP260000182,2026-01-03 21:38:57,Hoàn thành,LAN-126,Chân váy mẫu 126,2,169000,338000,29000.0,49440.0,18540.0,27810.0,3090.0,4635.0,0,Nghệ An,GHN
SP260000183,2026-01-03 21:39:10,Hoàn thành,LAN-024,Áo mẫu 024,1,209000,209000,21000.0,30080.0,11280.0,16920.0,1880.0,2820.0,0,TP.HCM,GHN
SP260000185,2026-01-03 22:15:54,Đã trả hàng,LAN-133,Set đồ mẫu 133,2,129000,258000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,SPX Express
SP260000186,2026-01-03 22:21:39,Hoàn thành,LAN-122,Chân váy mẫu 122,1,239000,239000,16000.0,35680.0,13380.0,20070.0,2230.0,3345.0,0,TP.HCM,SPX Express
SP260000187,2026-01-04 07:02:48,Hoàn thành,LAN-117,Chân váy mẫu 117,2,259000,518000,28000.0,78400.0,29400.0,44100.0,4900.0,7350.0,0,Thanh Hoá,SPX Express
SP260000188,2026-01-04 07:07:47,Hoàn thành,LAN-109,Quần mẫu 109,1,189000,189000,0.0,30240.0,11340.0,17010.0,1890.0,2835.0,0,Đà Nẵng,GHN
SP260000189,2026-01-04 07:08:15,Hoàn thành,LAN-055,Váy/Đầm mẫu 055,1,279000,279000,15000.0,42240.0,15840.0,23760.0,2640.0,3960.0,0,Hà Nội,SPX Express
SP260000190,2026-01-04 07:20:42,Hoàn thành,LAN-063,Váy/Đầm mẫu 063,1,259000,259000,24000.0,37600.0,14100.0,21150.0,2350.0,3525.0,0,TP.HCM,SPX Express
SP260000191,2026-01-04 07:24:57,Hoàn thành,LAN-102,Quần mẫu 102,1,109000,109000,0.0,17440.0,6540.0,9810.0,1090.0,1635.0,0,TP.HCM,SPX Express
SP260000192,2026-01-04 07:34:03,Đã huỷ,LAN-101,Quần mẫu 101,1,139000,139000,9000.0,0.0,0.0,0.0,0.0,0.0,0,TP.HCM,SPX Express
SP260000193,2026-01-04 07:53:55,Hoàn thành,LAN-120,Chân váy mẫu 120,1,269000,269000,26000.0,38880.0,14580.0,21870.0,2430.0,3645.0,0,TP.HCM,GHN
SP260000195,2026-01-04 08:19:59,Hoàn thành,LAN-053,Váy/Đầm mẫu 053,2,189000,378000,0.0,60480.0,22680.0,34020.0,3780.0,5670.0,0,Đồng Nai,J&T Express
SP260000196,2026-01-04 08:32:27,Hoàn thành,LAN-072,Váy/Đầm mẫu 072,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,SPX Express
SP260000197,2026-01-04 08:35:16,Hoàn thành,LAN-102,Quần mẫu 102,1,109000,109000,0.0,17440.0,6540.0,9810.0,1090.0,1635.0,0,TP.HCM,SPX Express
SP260000199,2026-01-04 08:56:06,Hoàn thành,LAN-117,Chân váy mẫu 117,3,259000,777000,41000.0,117760.0,44160.0,66240.0,7360.0,11040.0,0,Đồng Nai,GHN
SP260000200,2026-01-04 09:08:23,Hoàn thành,LAN-038,Áo mẫu 038,3,229000,687000,0.0,109920.0,41220.0,61830.0,6870.0,10305.0,0,Hà Nội,SPX Express
SP260000202,2026-01-04 09:34:13,Hoàn thành,LAN-049,Váy/Đầm mẫu 049,1,269000,269000,26000.0,38880.0,14580.0,21870.0,2430.0,3645.0,0,TP.HCM,SPX Express
SP260000203,2026-01-04 09:51:40,Hoàn thành,LAN-034,Áo mẫu 034,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Nghệ An,SPX Express
SP260000207,2026-01-04 10:57:03,Hoàn thành,LAN-048,Váy/Đầm mẫu 048,2,199000,398000,38000.0,57600.0,21600.0,32400.0,3600.0,5400.0,0,TP.HCM,J&T Express
SP260000208,2026-01-04 11:06:59,Hoàn thành,LAN-006,Áo mẫu 006,1,269000,269000,0.0,43040.0,16140.0,24210.0,2690.0,4035.0,0,TP.HCM,SPX Express
SP260000209,2026-01-04 11:21:14,Hoàn thành,LAN-054,Váy/Đầm mẫu 054,1,129000,129000,8000.0,19360.0,7260.0,10890.0,1210.0,1815.0,0,Hà Nội,SPX Express
SP260000210,2026-01-04 11:45:50,Hoàn thành,LAN-116,Chân váy mẫu 116,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,TP.HCM,SPX Express
SP260000211,2026-01-04 11:49:37,Hoàn thành,LAN-145,Phụ kiện mẫu 145,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,Bình Dương,J&T Express
SP260000214,2026-01-04 12:13:42,Đã huỷ,LAN-098,Quần mẫu 098,2,99000,198000,0.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,SPX Express
SP260000217,2026-01-04 13:01:20,Hoàn thành,LAN-059,Váy/Đầm mẫu 059,1,99000,99000,5000.0,15040.0,5640.0,8460.0,940.0,1410.0,0,Nghệ An,GHN
SP260000221,2026-01-04 13:30:59,Hoàn thành,LAN-084,Quần mẫu 084,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,Thanh Hoá,J&T Express
SP260000222,2026-01-04 13:37:53,Hoàn thành,LAN-048,Váy/Đầm mẫu 048,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,Thanh Hoá,SPX Express
SP260000226,2026-01-04 14:33:34,Hoàn thành,LAN-123,Chân váy mẫu 123,1,119000,119000,9000.0,17600.0,6600.0,9900.0,1100.0,1650.0,0,Hà Nội,SPX Express
SP260000228,2026-01-04 14:58:24,Đã trả hàng,LAN-036,Áo mẫu 036,1,279000,279000,70000.0,0.0,0.0,0.0,0.0,0.0,30000,Khánh Hoà,SPX Express
