sku,ten_san_pham,danh_muc,gia_ban,gia_von
LAN-043,Áo mẫu 043,Áo,169000,78600.0
LAN-044,Áo mẫu 044,Áo,249000,123000.0
LAN-045,Áo mẫu 045,Áo,159000,73500.0
LAN-046,Váy/Đầm mẫu 046,Váy/Đầm,269000,120800.0
LAN-047,Váy/Đầm mẫu 047,Váy/Đầm,169000,73500.0
LAN-048,Váy/Đầm mẫu 048,Váy/Đầm,199000,88000.0
LAN-049,Váy/Đầm mẫu 049,Váy/Đầm,269000,128000.0
LAN-050,Váy/Đầm mẫu 050,Váy/Đầm,289000,135300.0
LAN-051,Váy/Đầm mẫu 051,Váy/Đầm,119000,51100.0
LAN-052,Váy/Đầm mẫu 052,Váy/Đầm,139000,68000.0
LAN-053,Váy/Đầm mẫu 053,Váy/Đầm,189000,85400.0
LAN-054,Váy/Đầm mẫu 054,Váy/Đầm,129000,56200.0
LAN-055,Váy/Đầm mẫu 055,Váy/Đầm,279000,138400.0
LAN-056,Váy/Đầm mẫu 056,Váy/Đầm,99000,44500.0
LAN-057,Váy/Đầm mẫu 057,Váy/Đầm,239000,104700.0
LAN-058,Váy/Đầm mẫu 058,Váy/Đầm,99000,43900.0
LAN-059,Váy/Đầm mẫu 059,Váy/Đầm,99000,44800.0
LAN-060,Váy/Đầm mẫu 060,Váy/Đầm,259000,112700.0
LAN-061,Váy/Đầm mẫu 061,Váy/Đầm,99000,42300.0
LAN-062,Váy/Đầm mẫu 062,Váy/Đầm,269000,130500.0
LAN-063,Váy/Đầm mẫu 063,Váy/Đầm,259000,126400.0
LAN-064,Váy/Đầm mẫu 064,Váy/Đầm,279000,134500.0
LAN-065,Váy/Đầm mẫu 065,Váy/Đầm,169000,74200.0
LAN-066,Váy/Đầm mẫu 066,Váy/Đầm,209000,93600.0
LAN-067,Váy/Đầm mẫu 067,Váy/Đầm,229000,102400.0
LAN-068,Váy/Đầm mẫu 068,Váy/Đầm,219000,100300.0
LAN-069,Váy/Đầm mẫu 069,Váy/Đầm,159000,82000.0
LAN-070,Váy/Đầm mẫu 070,Váy/Đầm,169000,86900.0
LAN-071,Váy/Đầm mẫu 071,Váy/Đầm,229000,98700.0
LAN-072,Váy/Đầm mẫu 072,Váy/Đầm,209000,103700.0
LAN-073,Váy/Đầm mẫu 073,Váy/Đầm,129000,57900.0
LAN-074,Váy/Đầm mẫu 074,Váy/Đầm,139000,61600.0
LAN-075,Váy/Đầm mẫu 075,Váy/Đầm,229000,108300.0
LAN-076,Váy/Đầm mẫu 076,Váy/Đầm,169000,75400.0
LAN-077,Váy/Đầm mẫu 077,Váy/Đầm,219000,102500.0
LAN-078,Váy/Đầm mẫu 078,Váy/Đầm,299000,140500.0
LAN-079,Váy/Đầm mẫu 079,Váy/Đầm,119000,55200.0
LAN-080,Váy/Đầm mẫu 080,Váy/Đầm,279000,124700.0
LAN-081,Quần mẫu 081,Quần,199000,95500.0
LAN-082,Quần mẫu 082,Quần,299000,140200.0
LAN-083,Quần mẫu 083,Quần,109000,54300.0
LAN-084,Quần mẫu 084,Quần,199000,94500.0
LAN-085,Quần mẫu 085,Quần,199000,90700.0
LAN-086,Quần mẫu 086,Quần,249000,111800.0
LAN-087,Quần mẫu 087,Quần,249000,106800.0
LAN-088,Quần mẫu 088,Quần,129000,60800.0
LAN-089,Quần mẫu 089,Quần,219000,98800.0
LAN-090,Quần mẫu 090,Quần,249000,120500.0
LAN-091,Quần mẫu 091,Quần,169000,85900.0
LAN-092,Quần mẫu 092,Quần,109000,46900.0
LAN-093,Quần mẫu 093,Quần,159000,77100.0
LAN-094,Quần mẫu 094,Quần,299000,143200.0
LAN-095,Quần mẫu 095,Quần,149000,64400.0
LAN-096,Quần mẫu 096,Quần,289000,146800.0
LAN-097,Quần mẫu 097,Quần,259000,126900.0
LAN-098,Quần mẫu 098,Quần,99000,44900.0
LAN-099,Quần mẫu 099,Quần,139000,62100.0
LAN-100,Quần mẫu 100,Quần,299000,150700.0
LAN-101,Quần mẫu 101,Quần,139000,65100.0
LAN-102,Quần mẫu 102,Quần,109000,53500.0
LAN-103,Quần mẫu 103,Quần,259000,120200.0
LAN-104,Quần mẫu 104,Quần,229000,96600.0
LAN-105,Quần mẫu 105,Quần,209000,107000.0
LAN-106,Quần mẫu 106,Quần,179000,80400.0
LAN-107,Quần mẫu 107,Quần,149000,72100.0
LAN-108,Quần mẫu 108,Quần,249000,114000.0
LAN-109,Quần mẫu 109,Quần,189000,84500.0
LAN-110,Quần mẫu 110,Quần,139000,65300.0
LAN-111,Chân váy mẫu 111,Chân váy,209000,96300.0
LAN-112,Chân váy mẫu 112,Chân váy,169000,80300.0
LAN-113,Chân váy mẫu 113,Chân váy,289000,132700.0
LAN-114,Chân váy mẫu 114,Chân váy,179000,81100.0
LAN-115,Chân váy mẫu 115,Chân váy,219000,99200.0
LAN-116,Chân váy mẫu 116,Chân váy,259000,127200.0
LAN-117,Chân váy mẫu 117,Chân váy,259000,115000.0
LAN-118,Chân váy mẫu 118,Chân váy,299000,154600.0
LAN-119,Chân váy mẫu 119,Chân váy,239000,112300.0
LAN-120,Chân váy mẫu 120,Chân váy,269000,125900.0
LAN-121,Chân váy mẫu 121,Chân váy,289000,141000.0
LAN-122,Chân váy mẫu 122,Chân váy,239000,102100.0
LAN-123,Chân váy mẫu 123,Chân váy,119000,60300.0
LAN-124,Chân váy mẫu 124,Chân váy,179000,87200.0
LAN-125,Chân váy mẫu 125,Chân váy,209000,103500.0
LAN-126,Chân váy mẫu 126,Chân váy,169000,72000.0
LAN-127,Chân váy mẫu 127,Chân váy,279000,145100.0
LAN-128,Chân váy mẫu 128,Chân váy,169000,86500.0
LAN-129,Chân váy mẫu 129,Chân váy,189000,89800.0
LAN-130,Chân váy mẫu 130,Chân váy,99000,50800.0
LAN-131,Set đồ mẫu 131,Set đồ,259000,127400.0
LAN-132,Set đồ mẫu 132,Set đồ,209000,93200.0
LAN-133,Set đồ mẫu 133,Set đồ,129000,64200.0
LAN-134,Set đồ mẫu 134,Set đồ,129000,57700.0
LAN-135,Set đồ mẫu 135,Set đồ,279000,125300.0
LAN-136,Set đồ mẫu 136,Set đồ,209000,107200.0
LAN-137,Set đồ mẫu 137,Set đồ,99000,47000.0
LAN-138,Set đồ mẫu 138,Set đồ,249000,108100.0
LAN-139,Set đồ mẫu 139,Set đồ,139000,65600.0
LAN-140,Set đồ mẫu 140,Set đồ,159000,77800.0
LAN-141,Set đồ mẫu 141,Set đồ,149000,67500.0
LAN-142,Set đồ mẫu 142,Set đồ,109000,48200.0
LAN-143,Phụ kiện mẫu 143,Phụ kiện,189000,93900.0
LAN-144,Phụ kiện mẫu 144,Phụ kiện,199000,89000.0
LAN-145,Phụ kiện mẫu 145,Phụ kiện,169000,86900.0
LAN-146,Phụ kiện mẫu 146,Phụ kiện,209000,99900.0
LAN-147,Phụ kiện mẫu 147,Phụ kiện,239000,115900.0
LAN-148,Phụ kiện mẫu 148,Phụ kiện,129000,55100.0
LAN-149,Phụ kiện mẫu 149,Phụ kiện,169000,76600.0
LAN-150,Phụ kiện mẫu 150,Phụ kiện,259000,120200.0
